sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Federal;1555;KAUÊ CESAR SILVA;MDB;MDB;1;Suplente;6;SP;250001611261;2040602022;8321
SP;Deputado Federal;7049;ELIANE CRISTINA CAMARGO;AVANTE;AVANTE;1;Não eleito;6;SP;250001622056;2040602022;293
SP;Deputado Federal;3371;SANDRO FERREIRA DE SOUZA;PMN;PMN;1;Não eleito;6;SP;250001613978;2040602022;40
SP;Deputado Federal;5521;RICARDO MITSUO NAKAGAWA;PSD;PSD;1;Suplente;6;SP;250001604983;2040602022;12645
SP;Deputado Federal;7744;RONAN ALOISIO GOULART;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;6;SP;250001606106;2040602022;2727
SP;Deputado Federal;1150;DOUGLAS DE ARAUJO GIGLIO;PP;PP;1;Suplente;6;SP;250001612007;2040602022;666
SP;Deputado Federal;7069;ADRIANA PIERIN;AVANTE;AVANTE;1;Não eleito;6;SP;250001622064;2040602022;510
SP;Deputado Federal;7032;PAULO DE TARSO NUNES CHIODE;AVANTE;AVANTE;1;Não eleito;6;SP;250001622091;2040602022;7600
SP;Deputado Federal;1230;ANTONIO MARIO DE PAULA FERREIRA IELO;PDT;PDT;1;Não eleito;6;SP;250001643714;2040602022;5796
SP;Deputado Federal;1208;VANESSA ARAUJO;PDT;PDT;1;Não eleito;6;SP;250001643736;2040602022;2285
SP;Deputado Federal;2033;JUAREZ DOMINGOS COSTA;PSC;PSC;1;Suplente;6;SP;250001643919;2040602022;519
SP;Deputado Federal;2232;LUIZ ZACARIAS DE ARAUJO FILHO;PL;PL;1;Suplente;6;SP;250001611323;2040602022;22698
SP;Deputado Federal;3681;JENNIFER ADRIELI CERQUEIRA LEITE LOPES;AGIR;AGIR;1;Não eleito;6;SP;250001717182;2040602022;183
SP;Deputado Federal;1877;RICARDO MAGNUS OSÓRIO GALVÃO;REDE;REDE / PSOL;1;Suplente;6;SP;250001613765;2040602022;40365
SP;Deputado Federal;5145;GLAUCIA MAXIMO DOS SANTOS;PATRIOTA;PATRIOTA;1;Não eleito;6;SP;250001620735;2040602022;764
SP;Deputado Federal;3544;KATHERINE DO FORTE SILVA;PMB;PMB;1;Não eleito;6;SP;250001635946;2040602022;148
SP;Deputado Federal;2212;CARLOS ALBERTO DE SOUZA;PL;PL;1;Suplente;6;SP;250001611363;2040602022;37969
SP;Deputado Federal;3080;SIDNEY CARVALHO ELIAS;NOVO;NOVO;1;Suplente;6;SP;250001597686;2040602022;636
SP;Deputado Federal;2020;GILBERTO NASCIMENTO SILVA;PSC;PSC;1;Eleito por média;6;SP;250001643871;2040602022;95077
SP;Deputado Federal;9015;EMERSON VANCINI;PROS;PROS;1;Não eleito;6;SP;250001677867;2040602022;69
SP;Deputado Federal;4420;SILVIO FELIX DA SILVA;UNIÃO;UNIÃO;1;Não eleito;6;SP;250001602063;2040602022;0
SP;Deputado Federal;4450;MARCELO HERCOLIN;UNIÃO;UNIÃO;1;Suplente;6;SP;250001653330;2040602022;58419
SP;Deputado Federal;4443;INES NANY RODRIGUES DA SILVA;UNIÃO;UNIÃO;1;Suplente;6;SP;250001602062;2040602022;1785
SP;Deputado Federal;1985;PAULO ROBERTO AMARAL VIEIRA;PODE;PODE;1;Suplente;6;SP;250001610267;2040602022;3539
SP;Deputado Federal;4080;MARCO AURELIO UBIALI;PSB;PSB;1;Suplente;6;SP;250001620268;2040602022;13502
SP;Deputado Federal;4388;RALF SANTOS NAURE;PV;PT / PV / PC do B;1;Suplente;6;SP;250001610662;2040602022;494
SP;Deputado Federal;7000;MARCOS DA COSTA;AVANTE;AVANTE;1;Não eleito;6;SP;250001622057;2040602022;6482
